forward_from,forward_to,count
1232035105,1392084409,34
1570200651,1250811576,34
1583055270,1683565518,34
1562153282,1250811576,34
1502674862,1170367476,34
1642826727,1382991987,34
1326040001,1472543380,34
1407318288,1290899049,33
1551527598,2108908461,33
2108908461,1637791626,33
1230970294,1223155696,33
1882532730,1381856797,33
1067340713,1258240986,33
1754432876,1626866857,33
1691914868,1683565518,33
1326040001,1562153282,32
1662934043,1250811576,32
1746691202,1392084409,32
2011876906,1248033140,32
1486488276,1374961501,32
1852104526,1396523026,32
1721740591,1553508389,32
1316544327,1209682122,32
2142053191,1786323233,32
1638906174,1472543380,32
1326040001,1662934043,32
1894228419,1683565518,32
1964895095,1626866857,32
1491338254,1248033140,32
1290899049,1649202459,32
1654513755,1570078902,32
1721740591,1154851627,31
1618211569,1381856797,31
1563535469,1912440533,31
1754432876,1101806611,31
1232035105,1777506721,31
2077657312,1562153282,31
1982094495,1716286817,31
1719736627,1515558640,31
1106976356,1248033140,31
1203138981,2108908461,31
1412441785,1570078902,31
1267795651,1170367476,31
1635046106,1523014720,31
1655126925,1486488276,31
1350954050,1683565518,31
1655441290,1209682122,31
1210987817,1074354585,31
1894228419,1233275398,30
1257749547,1248033140,30
1606299156,1233275398,30
1795993534,1292891939,30
1154851627,1683565518,30
1342333512,1248033140,30
1116938422,1437021974,30
1189425333,1285109582,30
1208909296,1374719484,30
1777506721,1392084409,30
1592564357,2108908461,30
1684266592,1432950893,30
1403720833,1396523026,30
1544053508,1432950893,30
1683565518,1514647226,30
1139279191,1233275398,30
1553508389,1248033140,30
1247494809,1394010098,30
1691914868,1894228419,30
1413317441,1443518249,30
1486488276,1683565518,29
1248837802,1443518249,29
1649202459,1662934043,29
1407718466,1374961501,29
1268316239,1501908032,29
1662938118,1381856797,29
1270085524,1553508389,29
1637791626,2108908461,29
1226000036,1893553983,29
1263953596,1292891939,29
1499019500,1662934043,29
1321658383,1626866857,29
1268316239,1699360698,29
1154851627,1290899049,29
1783949999,1683565518,29
1285109582,1154851627,29
1288641123,1288641123,29
1353898111,1437021974,28
1497875245,1893553983,28
1516567901,1374961501,28
1691914868,1358740402,28
1627070796,1683565518,28
1642826727,1374961501,28
1409761930,1662934043,28
1803285616,1381856797,28
1837377048,1151557620,28
1199696455,1486488276,28
1701518765,1170367476,28
1292891939,1323132810,28
1835083973,1982080538,28
1326040001,1514647226,28
1562153282,1662934043,28
1250811576,1683565518,28
1399651938,1248033140,28
1650294465,1570078902,28
1091665289,1285109582,28
1310984791,1394010098,28
2048164447,1139279191,28
1893553983,1366246764,28
1306452961,1101806611,27
1409761930,1683565518,27
1840127418,1683565518,27
1278390541,1185782282,27
1260622817,1101806611,27
1486151887,1277225967,27
2021447155,1716286817,27
1732848493,1523014720,27
1181812648,1277225967,27
1525690091,1248033140,27
1272953589,1323132810,27
1366317305,1277225967,27
1527209198,1101806611,26
1382991987,1248033140,26
1553508389,1437021974,26
1749185625,1205641526,26
1290899049,1250811576,26
1409086456,1893553983,26
1656091384,1918569611,26
1649202459,1374961501,26
1326223284,1292891939,26
1403923761,1101806611,26
1285098115,1486488276,26
1660893903,1248033140,26
1266447726,1394010098,26
1489695270,1683565518,26
1250811576,1649202459,26
1012103617,1323132810,26
1247016224,1278390541,26
1149744575,1432950893,26
1695239563,1514647226,25
1775745152,1683565518,25
1867570971,2108908461,25
1170367476,1683565518,25
1196164616,1893553983,25
1499019500,1382991987,25
1768720470,2108908461,25
1361564952,1893553983,25
1515558640,1719736627,25
1837279446,1649202459,25
1189425333,1683565518,25
1765224391,1662934043,25
1894228419,1285109582,25
1628510382,1292891939,25
1431984440,1683565518,25
1284960114,1248033140,25
1411292721,1484687658,25
1647358615,1285109582,25
1012103617,1101806611,24
1395214474,1248033140,24
1249969478,1683565518,24
1081896139,1894228419,24
1767919455,1662934043,24
1499019500,1580163008,24
1731206105,1472543380,24
1717719662,1404658297,24
