forward_from,forward_to,count
1106188758,1702600049,115
1716829120,1189641428,114
1606254367,1827750862,114
1614269632,1745302615,114
1005998238,1894228419,113
1189544175,1676275372,113
1736828635,1394010098,113
1306113812,1827750862,112
1301962344,1138409069,110
1882929255,1822184731,109
1873940612,1789080285,109
1852104526,1861575578,108
1447464618,1525546583,108
1565335110,1827750862,108
1295914050,1346263268,107
1920019772,1665378999,106
1856125821,1676275372,105
1358564325,1161666782,105
1139728061,1789080285,105
1766679337,1676275372,104
1822461311,1413206785,104
1734047722,1572759472,104
1520639179,1781480731,104
1506450597,1822184731,102
1904302255,1346263268,102
1283631731,1346263268,102
1308697578,1161666782,102
1796155248,1861575578,101
1269602563,1161666782,101
1010392703,1456081291,100
1759724465,1864210565,100
1710801032,1861575578,99
1284266233,1182038013,99
1525546583,1155189272,99
1313869882,1861575578,99
1506450597,1672536590,98
1072692363,1702600049,97
1681625609,1827750862,97
1210295875,1827750862,97
1226363458,1161666782,97
1654513755,1535105594,97
1856125821,1161666782,96
1443345302,1346263268,96
1499017567,1458480018,95
1653555472,1485965396,94
2095443057,1009749057,94
1825304812,1919213412,94
1745302615,2141331735,93
1277138224,1702600049,93
1709562795,1164844795,92
1759724465,1346263268,92
1750459307,1702600049,92
1197163972,1665378999,92
1301591875,1672536590,92
1371670256,1155189272,92
1822461311,1226363458,91
1106188758,1346263268,91
1891165770,1626824086,91
1750459307,1071495228,90
1681625609,1760395905,90
1796884368,1702600049,90
1556976800,1745302615,89
1316560023,1525546583,89
1394010098,1047936974,89
1889465371,1413206785,88
1827178194,1135973695,88
1405149934,1495967019,87
1684062237,1702600049,87
1650359602,1889704835,87
2138279330,1975151584,87
1076110605,1295914050,86
1002489027,1006487902,86
1548614816,1702600049,86
1214168367,1450478912,85
1641520356,1816554154,85
1904302255,1071495228,84
1640427825,1525546583,84
1116498884,1331740093,83
1478154831,1458480018,83
1002241008,2048622968,83
1727826599,1861575578,83
1382842129,1382842129,83
1723040893,1924009639,83
1506450597,1528487044,82
1417239696,1187228866,82
1071495228,1295914050,82
1187620806,1672425030,82
1499017567,1321593888,82
1479223377,1613620531,82
1613170878,1676275372,81
1525546583,1214168367,81
1190986829,2138279330,81
1197163972,1702600049,81
1047936974,1789080285,81
1665378999,1392668964,81
1214965668,1822184731,80
1759724465,1371186985,80
1781480731,1226363458,80
1361571144,1742545516,80
1161666782,1626824086,79
1822184731,1568954471,79
1009749057,1665378999,79
1856125821,1569413723,78
1009749057,1702600049,77
1810182217,1458480018,77
1247376754,1316560023,77
1344184017,1781480731,76
1860107178,1816554154,76
1129876761,1702600049,76
1912350458,2141331735,76
1635862402,1138409069,76
1726639617,1789080285,75
1004587896,1540400395,75
1727798806,1789080285,75
1540400395,1702600049,75
1731141767,1138409069,74
1528487044,1822184731,74
1781480731,1676275372,74
1334094736,1394010098,74
1301591875,1478177369,73
1297324784,1525546583,73
1168682888,2141331735,73
1554967100,1002241008,73
1458480018,1626824086,73
1676275372,1861575578,73
1750481762,1789080285,73
1625429257,1458480018,73
1161666782,1269602563,73
1439127676,1451711933,73
1662257560,1071495228,72
1672536590,1702600049,72
1975631510,1672536590,72
1735387179,1214168367,72
1744265047,1822184731,72
1396523026,1861575578,72
1572759472,1345902394,72
1463866355,1161666782,72
1246774579,1822184731,72
2018712933,1539622584,72
1649202459,1894228419,72
1662257560,1047936974,72
1304871570,1478177369,71
2037497033,1653555472,71
1285109582,1382991987,71
1694389100,1816554154,70
1525546583,1182038013,70
1396523026,1676275372,70
1440826143,1458480018,69
1179270258,1458480018,69
1401293272,1702600049,69
1626824086,1676275372,69
1377364871,1458480018,69
1572759472,1411382557,69
1946547484,1539622584,68
1125902924,1214168367,68
1377364871,1626824086,68
1214168367,1182038013,68
1759724465,1822184731,68
1625429257,1626824086,67
1458480018,1269602563,67
1362007101,1525546583,67
1006487902,1676275372,66
1279658538,2141331735,66
1169758045,1478177369,66
1301591875,1822184731,66
1653444989,1827750862,66
1266318176,1816554154,66
1321593888,1458480018,66
1610134708,1161666782,66
1971363005,1626824086,65
2134980966,1829562643,65
1726639617,1822184731,65
1681625609,1635862402,65
1405149934,1484588762,64
2037413173,1211572646,63
1671535621,1823246910,63
1172517043,1277138224,63
1732999829,1861575578,63
1653555472,1827750862,63
1405149934,1827750862,63
1861575578,1861575578,63
1572759472,1373385240,62
1286046802,1672536590,62
1140591136,1346263268,62
1047936974,1507630146,62
1154851627,1394010098,61
1606254367,1760395905,61
1455769876,1525546583,61
1635862402,1827750862,61
1295601717,1861575578,61
1422594647,2141331735,61
1700501351,1382842129,61
1193330410,1569413723,60
1786323233,1539622584,60
1389988104,1827750862,60
1187620806,1411382557,60
1665378999,1822184731,60
1603097395,1569413723,60
1676275372,1676275372,59
1346263268,1540400395,59
1516567901,1382991987,59
1710801032,1394010098,59
1668678283,1348569984,59
1366782055,1138409069,59
1660664068,1437895254,58
1416460877,1416460877,58
1190986829,1346263268,58
1904302255,1968472703,58
1072692363,1789080285,58
1755835889,1539622584,58
2067098505,1572759472,58
1932171071,1484150043,57
1500171387,1789080285,57
1009682794,1822184731,57
1656256995,1006487902,57
1362880422,2141331735,57
1750459307,1277138224,57
1546553390,1861575578,57
2077657312,1539622584,57
1273512692,1702600049,56
1975151584,2138279330,56
1731195994,1182038013,56
1755851432,1394010098,56
1706891975,1006487902,56
1731141767,1822184731,56
1066989887,1829562643,56
1392759909,1924009639,55
1456081291,1702600049,55
1841255949,1789080285,55
1394010098,1861575578,55
1951622399,1702600049,55
1400689598,1827750862,55
2141218166,1626824086,55
1006487902,1006487902,55
1572759472,1525546583,55
1864929722,1413206785,55
1635862402,1164844795,54
1727798806,1047936974,54
1259355405,1676275372,54
1525546583,1102335963,54
1525264245,1789080285,54
1976879067,1572759472,54
1807369590,1161666782,54
1376090266,1863408603,54
1529007507,1789080285,53
1494499702,1613620531,53
2018415642,2141331735,53
1766213673,1458480018,53
1467139681,1161666782,53
1572759472,1182038013,53
1625429257,1226363458,53
1346263268,1822184731,53
1351886959,1047936974,52
1670989250,1676275372,52
1121599155,1456081291,51
1676632166,1277225967,51
1635862402,1681625609,51
1971363005,1458480018,51
1310984791,1569413723,51
1009682794,1672536590,50
1323992627,1827750862,50
1603259782,1138409069,50
1668678283,1742545516,50
1882929255,1478177369,50
1731206105,1539622584,50
1517028838,1676275372,50
2037413173,2141331735,50
1655979710,1138409069,50
1129876761,1540400395,50
1197163972,1822184731,50
1161666782,1569413723,50
1309409559,1422229180,49
1900950642,1689636108,49
1845653187,1529309353,49
1640427825,1297324784,49
1488338305,2141331735,48
1310984791,1161666782,48
1692152143,1458480018,48
1520639179,1047936974,47
1520639179,1676275372,47
1065720342,1002241008,47
1859830582,2076316402,47
1525546583,1297324784,47
1750481762,1047936974,47
1689636108,1967801113,47
1216464646,1259355405,47
1322761363,1702600049,47
1684266592,1758476679,47
1419769554,1676275372,47
1871322814,1187228866,47
1251299061,1861575578,46
1848678223,1789080285,46
1326040001,1539622584,45
1676275372,1919213412,45
1002241008,1827750862,45
1606254367,1138409069,45
1422594647,1900950642,45
1612374133,1827750862,45
1301711481,1529309353,45
1452287326,1161666782,45
1606254367,1635862402,45
1572759472,1572759472,45
1106076053,1229028489,45
1668977160,1458480018,45
1462876169,1676275372,45
1653705564,1822184731,44
1351886959,1789080285,44
1125902924,1182038013,44
2107083631,1572759472,44
1314529897,1478177369,44
1269602563,1458480018,44
1537757408,1277225967,44
2086884994,1458480018,44
1400689598,1702600049,44
1781480731,1161666782,44
1671535621,1892042395,44
1617509980,1458480018,44
1796884368,1456081291,44
1621241134,1297324784,44
1547808262,1789080285,43
1856125821,1702600049,43
1102335963,1102335963,43
1197163972,1672536590,43
1625429257,1161666782,43
1709192717,1458480018,43
1892042395,2141331735,43
1170367476,1894228419,43
1659372417,2141331735,43
1506450597,1540400395,43
1269602563,1856125821,43
1751710558,1161666782,42
2089281650,1540400395,42
1777242868,1555110835,42
1184692987,1827750862,42
1251136642,1702600049,42
1572759472,1968986365,42
1614041121,1653555472,42
1140591136,1702600049,42
2073371836,1495967019,42
1180247347,1540400395,42
1087289915,1702600049,42
1081541129,1047936974,42
2137712928,1569413723,42
1700708373,1789080285,42
1889465371,1161666782,42
1371186985,1124120155,42
2146800160,1781480731,42
1481782197,1422229180,42
1848586158,1297324784,42
1603259782,1702600049,41
1967801113,1689636108,41
1191128783,1702600049,41
1507630146,1507630146,41
1864551878,1822184731,41
1189544175,1572759472,41
1715924868,1676275372,41
2036270701,1161666782,41
1102335963,1450478912,41
1736828635,1816554154,41
1827750862,1702600049,41
1525546583,1373385240,40
1686586175,1686586175,40
1314529897,1822184731,40
1676275372,1458480018,40
2142527609,1781480731,40
1525546583,1827750862,40
2029593813,1572759472,40
1289873735,1672536590,40
1187620806,1702600049,40
1626110640,1702600049,40
1467134505,1822184731,40
1614041121,1929617465,40
1750481762,1346263268,40
1655979710,1218920718,40
1394864973,1187228866,39
1684062237,1789080285,39
1189544175,1789080285,39
1892042395,1899082322,39
1777242868,1133714736,39
1810182217,1626824086,39
1540805607,1346263268,39
1006487902,1665378999,39
1071495228,1702600049,39
1621241134,1525546583,39
1821445207,1164844795,39
1975274302,1458480018,38
1182038013,1214168367,38
1442674475,1789080285,38
1052310610,1540400395,38
1617420438,2141331735,38
1309409559,1559120377,38
1378333145,1229028489,38
1653555472,1540400395,38
1848773883,1789080285,38
1450478912,1525546583,38
1904302255,1789080285,38
1190986829,2141331735,38
1606254367,1348569984,38
2107083631,1373385240,38
1322761363,1822184731,37
1904302255,1301591875,37
1796096784,1187228866,37
1816554154,1789080285,37
1880878041,1569413723,37
1343341889,1458480018,37
1614269632,2141331735,37
1847269071,1864210565,37
1789080285,1047936974,37
2036724829,1949910674,37
1736828635,1861575578,37
1301711481,1540400395,37
1525546583,1735387179,37
1422594647,1702600049,37
1681625609,1138409069,36
1684600294,1226363458,36
2134581702,1822184731,36
1744265047,1456081291,36
1525546583,1316560023,36
1669876161,1789080285,36
1676275372,1161666782,36
1572209869,1789080285,36
1539341585,1676275372,36
1848586158,1525546583,35
1848586158,1735387179,35
1750459307,1346263268,35
1635862402,1672425030,35
1822461311,1676275372,35
1952842392,1760395905,35
1337349946,1189641428,35
1168682888,1975151584,35
1212292036,1702600049,35
1952842392,1635862402,35
1422594647,1138409069,35
1665840299,1259355405,35
1172517043,1392668964,35
1963518160,1187228866,35
1759724465,1481402689,35
1827750862,1572759472,35
2065351215,1540400395,35
1462987087,2141331735,34
1603999330,1672536590,34
1508899684,1508899684,34
1226087565,1529309353,34
1919584255,1861575578,34
1642826727,1382991987,34
1206007360,1382842129,34
2087786688,1006487902,34
1919584255,1394010098,34
1988365219,1702600049,34
1659844187,1569413723,34
1781480731,1702600049,34
1141436975,1295914050,34
1183537883,1789080285,33
1096162371,1822184731,33
2130418213,1789080285,33
1447433852,1702600049,33
1009749057,1009749057,33
1795594413,1789080285,33
1572759472,1734047722,33
1418626942,1458480018,33
1726639617,1702600049,33
1702600049,1822184731,33
1910155003,1827750862,33
1570575429,1789080285,33
1190986829,1975151584,33
1929617465,1535105594,33
1428219260,2141331735,33
1520639179,1672536590,32
1653555472,1138409069,32
1444236081,1164651653,32
1286543091,1138409069,32
1090854396,1382842129,32
1516578446,1919213412,32
1645299577,1346263268,32
1859830582,1944703272,32
1215292658,1109601405,32
1463140839,1702600049,32
1732999829,1676275372,32
1095638510,1789080285,32
1640427825,1102335963,31
1750459307,1047936974,31
1957004356,1672536590,31
1785169020,1525546583,31
1247494809,1394010098,31
1441594855,1525546583,31
1136365500,1229028489,31
1190986829,1362880422,31
1840127418,1539622584,31
1508686622,1525546583,31
2065351215,1702600049,31
1392668964,1822184731,31
1721740591,1539622584,31
1055807388,1702600049,31
1416965667,1107571014,31
1362880422,1232057807,31
1301591875,1702600049,30
2138279330,2138279330,30
1293573903,1210295875,30
1378403197,1382842129,30
1891165770,1919213412,30
1373385240,1525546583,30
1635862402,1348569984,30
1653444989,1760395905,30
1790041464,1760395905,30
1226363458,1569413723,30
1234911317,1525546583,30
1612374133,1967801113,30
2139976353,1822184731,30
1047936974,1822184731,30
1908692235,2141331735,30
1226087565,1559120377,30
1047936974,1702600049,30
1691914868,1894228419,30
1810182217,1676275372,30
1861575578,1816554154,30
1988365219,1827750862,30
1506450597,1789080285,30
1331343382,1316560023,30
1759724465,1138409069,30
1135973695,1135973695,29
1713927523,1071495228,29
1204663994,1539622584,29
1781480731,1822184731,29
1882929255,1672536590,29
1467139681,1321593888,29
1575513514,1702600049,29
1479223377,1760395905,29
1244491819,1371788048,29
1704102155,1816554154,29
1759724465,1568954471,29
1927537940,2141331735,29
1932035583,1676275372,29
1284935867,1896611644,29
1393271424,1886181675,29
1746498003,1702600049,29
1131567456,1405149934,29
1671535621,1889704835,29
1968472703,1822184731,28
1495853672,1033224462,28
1162074204,1861575578,28
1729056696,1006487902,28
1626824086,1861575578,28
1171663748,1356567580,28
1864210565,1346263268,28
1540400395,1540400395,28
1271015481,1789080285,28
1732999829,1161666782,28
1937835642,1362880422,28
2036270701,1458480018,28
1124967465,1373385240,28
1851441463,1458480018,28
1047936974,1047936974,28
1371186985,1331740093,28
1486151887,1277225967,28
1736753529,1525546583,28
1342022321,2141331735,28
1704102155,1676275372,28
1681625609,1672425030,28
1731141767,1826320114,28
1204169876,1572759472,28
1310984791,1394010098,28
1366317305,1277225967,28
1363906286,1608599491,28
1181812648,1277225967,27
2037413173,1962637408,27
1449417184,1525546583,27
1927243330,1301591875,27
1377364871,1672536590,27
1796884368,1540400395,27
1660664068,1321635133,27
1745302615,1975151584,27
1534529260,1789080285,27
2094887236,2141331735,27
1847269071,1481402689,27
1699833011,1676275372,27
1347986142,1458480018,27
1871548580,1665378999,27
1394010098,1676275372,27
